,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2198,PAST SALE,August-28-2017,Single Family Residential,334 Hannah Ln,Coventry,CT,6238,447000.0,3.0,3.0,Coventry,2546.0,94960.0,2007.0,1512.0,176.0,,Sold,,,http://www.redfin.com/CT/Coventry/334-Hannah-Ln-06238/home/54447920,Smart MLS,G10228409,N,Y,41.8219088,-72.3709625
2199,PAST SALE,September-12-2017,Single Family Residential,654 Dunn Rd,Coventry,CT,6238,440000.0,3.0,3.5,Coventry,,228254.0,2017.0,1497.0,,,Sold,,,http://www.redfin.com/CT/Coventry/654-Dunn-Rd-06238/home/143753726,Smart MLS,G10201475,N,Y,41.8187062,-72.3812861
2200,PAST SALE,October-31-2017,Single Family Residential,8 Highland Oak Dr,Ellington,CT,6029,300000.0,3.0,2.0,Ellington,1755.0,40075.0,2005.0,1448.0,171.0,,Sold,,,http://www.redfin.com/CT/Ellington/8-Highland-Oak-Dr-06029/home/54248442,Smart MLS,170009610,N,Y,41.9264989,-72.3675317
2201,PAST SALE,May-19-2017,Single Family Residential,102 Lake Rd,Columbia,CT,6237,419900.0,4.0,3.0,Columbia,2716.0,348480.0,1987.0,1613.0,155.0,,Sold,,,http://www.redfin.com/CT/Columbia/102-Lake-Rd-06237/home/53775774,Smart MLS,G10204620,N,Y,41.7008863,-72.3362242
2202,PAST SALE,November-29-2017,Single Family Residential,161 Lake Rd,Andover,CT,6232,150000.0,3.0,1.0,Andover,1170.0,20037.0,1927.0,1419.0,128.0,,Sold,,,http://www.redfin.com/CT/Andover/161-Lake-Rd-06232/home/53791702,Smart MLS,G10231558,N,Y,41.7145548,-72.362075
2203,PAST SALE,March-31-2017,Single Family Residential,227 Lake Rd,Andover,CT,6232,227000.0,3.0,2.0,Andover,1520.0,28314.0,1942.0,1662.0,149.0,,Sold,,,http://www.redfin.com/CT/Andover/227-Lake-Rd-06232/home/53791894,Smart MLS,G10198392,N,Y,41.7107309,-72.3586529
2204,PAST SALE,August-17-2017,Single Family Residential,57 Fox Ridge Ln,Hebron,CT,6248,445000.0,4.0,2.5,Gilead,,52707.0,2002.0,1523.0,,,Sold,,,http://www.redfin.com/CT/Hebron/57-Fox-Ridge-Ln-06248/home/54032973,Smart MLS,G10221643,N,Y,41.6923505,-72.3567569
2205,PAST SALE,August-30-2017,Single Family Residential,31A Route 87,Columbia,CT,6237,400000.0,3.0,2.5,Columbia,2087.0,595900.0,1996.0,1510.0,192.0,,Sold,,,http://www.redfin.com/CT/Columbia/31A-CT-87-06237/home/53774103,Smart MLS,G10227011,N,Y,41.7219821,-72.3363296
2206,PAST SALE,January-11-2018,Single Family Residential,91 Hickory Hill Dr,Somers,CT,6071,300000.0,4.0,3.0,Somers,2217.0,62290.0,1965.0,1376.0,135.0,,Sold,,,http://www.redfin.com/CT/Somers/91-Hickory-Hill-Dr-06071/home/52271438,Smart MLS,G10201287,N,Y,41.99989,-72.431791
2207,PAST SALE,December-29-2017,Single Family Residential,163 Hampden Rd,Somers,CT,6071,260000.0,4.0,2.5,Somers,2912.0,174240.0,1796.0,1389.0,89.0,,Sold,,,http://www.redfin.com/CT/Somers/163-Hampden-Rd-06071/home/53776942,Smart MLS,G10209865,N,Y,42.0300107,-72.4448849
